"season","total","weight"
"1979",0,153
"1979",0,156
"1979",0,159
"1979",0,162
"1980",0,60
"1980",0,63
"1980",1,66
"1980",0,69
"1980",11,72
"1980",12,75
"1980",12,78
"1980",59,81
"1980",33,84
"1980",20,87
"1980",37,90
"1980",25,93
"1980",32,96
"1980",39,99
"1980",39,102
"1980",23,105
"1980",4,108
"1980",10,111
"1980",0,114
"1980",0,117
"1980",0,120
"1980",0,123
"1980",0,126
"1980",0,129
"1980",0,132
"1980",0,135
"1980",0,138
"1980",0,141
"1980",0,144
"1980",0,147
"1980",0,150
"1980",0,153
"1980",0,156
"1980",0,159
"1980",0,162
"1981",0,60
"1981",0,63
"1981",1,66
"1981",0,69
"1981",10,72
"1981",18,75
"1981",20,78
"1981",55,81
"1981",29,84
"1981",23,87
"1981",43,90
"1981",24,93
"1981",34,96
"1981",35,99
"1981",37,102
"1981",16,105
"1981",5,108
"1981",11,111
"1981",0,114
"1981",0,117
"1981",0,120
"1981",1,123
"1981",1,126
"1981",0,129
"1981",0,132
"1981",0,135
"1981",0,138
"1981",0,141
"1981",0,144
"1981",0,147
"1981",0,150
"1981",0,153
"1981",0,156
"1981",0,159
"1981",0,162
"1982",0,60
"1982",0,63
"1982",1,66
"1982",0,69
"1982",9,72
"1982",19,75
"1982",19,78
"1982",46,81
"1982",36,84
"1982",26,87
"1982",44,90
"1982",23,93
"1982",39,96
"1982",32,99
"1982",37,102
"1982",16,105
"1982",9,108
"1982",14,111
"1982",0,114
"1982",1,117
"1982",0,120
"1982",1,123
"1982",1,126
"1982",0,129
"1982",0,132
"1982",0,135
"1982",0,138
"1982",0,141
"1982",0,144
"1982",0,147
"1982",0,150
"1982",0,153
"1982",0,156
"1982",0,159
"1982",0,162
"1983",0,60
"1983",0,63
"1983",1,66
"1983",0,69
"1983",8,72
"1983",20,75
"1983",22,78
"1983",48,81
"1983",33,84
"1983",20,87
"1983",35,90
"1983",27,93
"1983",50,96
"1983",29,99
"1983",42,102
"1983",22,105
"1983",15,108
"1983",16,111
"1983",0,114
"1983",0,117
"1983",0,120
"1983",2,123
"1983",1,126
"1983",0,129
"1983",0,132
"1983",0,135
"1983",0,138
"1983",0,141
"1983",0,144
"1983",0,147
"1983",0,150
"1983",0,153
"1983",0,156
"1983",0,159
"1983",0,162
"1984",0,60
"1984",0,63
"1984",1,66
"1984",0,69
"1984",7,72
"1984",19,75
"1984",20,78
"1984",40,81
"1984",32,84
"1984",22,87
"1984",32,90
"1984",29,93
"1984",35,96
"1984",26,99
"1984",34,102
"1984",16,105
"1984",13,108
"1984",14,111
"1984",0,114
"1984",0,117
"1984",0,120
"1984",2,123
"1984",1,126
"1984",0,129
"1984",0,132
"1984",0,135
"1984",0,138
"1984",0,141
"1984",0,144
"1984",0,147
"1984",0,150
"1984",0,153
"1984",0,156
"1984",0,159
"1984",0,162
"1985",0,60
"1985",0,63
"1985",0,66
"1985",0,69
"1985",8,72
"1985",16,75
"1985",25,78
"1985",46,81
"1985",24,84
"1985",28,87
"1985",22,90
"1985",35,93
"1985",45,96
"1985",30,99
"1985",32,102
"1985",19,105
"1985",12,108
"1985",15,111
"1985",2,114
"1985",1,117
"1985",0,120
"1985",2,123
"1985",0,126
"1985",0,129
"1985",0,132
"1985",0,135
"1985",0,138
"1985",0,141
"1985",0,144
"1985",0,147
"1985",0,150
"1985",0,153
"1985",0,156
"1985",0,159
"1985",0,162
"1986",1,60
"1986",0,63
"1986",0,66
"1986",0,69
"1986",5,72
"1986",18,75
"1986",24,78
"1986",51,81
"1986",24,84
"1986",25,87
"1986",33,90
"1986",31,93
"1986",47,96
"1986",26,99
"1986",29,102
"1986",19,105
"1986",14,108
"1986",22,111
"1986",5,114
"1986",1,117
"1986",0,120
"1986",4,123
"1986",0,126
"1986",0,129
"1986",0,132
"1986",0,135
"1986",0,138
"1986",0,141
"1986",0,144
"1986",0,147
"1986",0,150
"1986",0,153
"1986",0,156
"1986",0,159
"1986",0,162
"1987",1,60
"1987",0,63
"1987",0,66
"1987",0,69
"1987",6,72
"1987",16,75
"1987",26,78
"1987",45,81
"1987",23,84
"1987",28,87
"1987",27,90
"1987",40,93
"1987",38,96
"1987",29,99
"1987",31,102
"1987",21,105
"1987",14,108
"1987",22,111
"1987",6,114
"1987",0,117
"1987",0,120
"1987",5,123
"1987",0,126
"1987",0,129
"1987",0,132
"1987",0,135
"1987",0,138
"1987",0,141
"1987",0,144
"1987",0,147
"1987",0,150
"1987",0,153
"1987",0,156
"1987",0,159
"1987",0,162
"1988",2,60
"1988",0,63
"1988",0,66
"1988",0,69
