"season","total","height"
"1978",0,168
"1978",1,171
"1978",1,174
"1978",0,177
"1978",1,180
"1978",38,183
"1978",21,186
"1978",40,189
"1978",21,192
"1978",36,195
"1978",22,198
"1978",92,201
"1978",46,204
"1978",25,207
"1978",16,210
"1978",9,213
"1978",5,216
"1978",0,219
"1978",0,222
"1978",0,225
"1978",0,228
"1978",0,231
"1979",0,159
"1979",0,162
"1979",0,165
"1979",0,168
"1979",1,171
"1979",1,174
"1979",0,177
"1979",2,180
"1979",28,183
"1979",14,186
"1979",36,189
"1979",21,192
"1979",33,195
"1979",34,198
"1979",77,201
"1979",37,204
"1979",28,207
"1979",21,210
"1979",6,213
"1979",5,216
"1979",0,219
"1979",0,222
"1979",0,225
"1979",0,228
"1979",0,231
"1980",0,159
"1980",0,162
"1980",0,165
"1980",0,168
"1980",1,171
"1980",1,174
"1980",0,177
"1980",4,180
"1980",23,183
"1980",22,186
"1980",38,189
"1980",22,192
"1980",29,195
"1980",29,198
"1980",75,201
"1980",48,204
"1980",31,207
"1980",20,210
"1980",8,213
"1980",6,216
"1980",0,219
"1980",0,222
"1980",0,225
"1980",0,228
"1980",0,231
"1981",0,159
"1981",0,162
"1981",0,165
"1981",0,168
"1981",1,171
"1981",1,174
"1981",0,177
"1981",1,180
"1981",33,183
"1981",23,186
"1981",30,189
"1981",31,192
"1981",21,195
"1981",34,198
"1981",76,201
"1981",39,204
"1981",32,207
"1981",25,210
"1981",8,213
"1981",8,216
"1981",0,219
"1981",0,222
"1981",0,225
"1981",0,228
"1981",0,231
"1982",0,159
"1982",0,162
"1982",0,165
"1982",0,168
"1982",3,171
"1982",1,174
"1982",0,177
"1982",1,180
"1982",28,183
"1982",20,186
"1982",28,189
"1982",28,192
"1982",20,195
"1982",40,198
"1982",75,201
"1982",52,204
"1982",37,207
"1982",20,210
"1982",13,213
"1982",7,216
"1982",0,219
"1982",0,222
"1982",0,225
"1982",0,228
"1982",0,231
"1983",0,159
"1983",0,162
"1983",0,165
"1983",0,168
"1983",1,171
"1983",1,174
"1983",0,177
"1983",3,180
"1983",25,183
"1983",21,186
"1983",34,189
"1983",21,192
"1983",22,195
"1983",28,198
"1983",76,201
"1983",54,204
"1983",54,207
"1983",29,210
"1983",13,213
"1983",7,216
"1983",0,219
"1983",1,222
"1983",1,225
"1983",0,228
"1983",0,231
"1984",0,159
"1984",0,162
"1984",0,165
"1984",0,168
"1984",3,171
"1984",0,174
"1984",0,177
"1984",0,180
"1984",28,183
"1984",18,186
"1984",29,189
"1984",21,192
"1984",23,195
"1984",28,198
"1984",76,201
"1984",38,204
"1984",38,207
"1984",23,210
"1984",8,213
"1984",7,216
"1984",1,219
"1984",2,222
"1984",0,225
"1984",0,228
"1984",0,231
"1985",0,159
"1985",0,162
"1985",0,165
"1985",0,168
"1985",1,171
"1985",0,174
"1985",0,177
"1985",1,180
"1985",24,183
"1985",24,186
"1985",36,189
"1985",21,192
"1985",25,195
"1985",31,198
"1985",69,201
"1985",42,204
"1985",37,207
"1985",30,210
"1985",11,213
"1985",6,216
"1985",1,219
"1985",2,222
"1985",1,225
"1985",0,228
"1985",0,231
"1986",0,159
"1986",0,162
"1986",0,165
"1986",1,168
"1986",0,171
"1986",0,174
"1986",1,177
"1986",0,180
"1986",19,183
"1986",28,186
"1986",37,189
"1986",19,192
"1986",24,195
"1986",30,198
"1986",86,201
"1986",37,204
"1986",31,207
"1986",25,210
"1986",23,213
"1986",11,216
"1986",1,219
"1986",2,222
"1986",3,225
"1986",0,228
"1986",1,231
"1987",0,159
"1987",0,162
"1987",0,165
"1987",1,168
"1987",0,171
"1987",0,174
"1987",1,177
"1987",1,180
"1987",17,183
"1987",24,186
"1987",35,189
"1987",20,192
"1987",30,195
"1987",31,198
"1987",87,201
"1987",40,204
"1987",29,207
"1987",27,210
"1987",20,213
"1987",10,216
"1987",1,219
"1987",2,222
"1987",1,225
"1987",0,228
"1987",1,231
"1988",1,159
"1988",0,162
"1988",0,165
"1988",1,168
"1988",0,171
"1988",0,174
"1988",2,177
"1988",3,180
"1988",22,183
"1988",37,186
"1988",32,189
"1988",24,192
"1988",32,195
"1988",32,198
"1988",79,201
"1988",45,204
"1988",35,207
"1988",38,210
"1988",23,213
"1988",13,216
"1988",1,219
"1988",4,222
"1988",1,225
"1988",0,228
"1988",1,231
"1989",1,159
"1989",0,162
"1989",0,165
"1989",1,168
"1989",0,171
"1989",0,174
"1989",3,177
"1989",4,180
"1989",20,183
"1989",35,186
"1989",32,189
"1989",21,192
"1989",31,195
"1989",45,198
"1989",92,201
"1989",45,204
"1989",41,207
"1989",32,210
"1989",18,213
"1989",11,216
"1989",1,219
"1989",3,222
"1989",1,225
"1989",0,228
"1989",1,231
"1990",1,159
"1990",0,162
"1990",0,165
"1990",2,168
"1990",0,171
"1990",0,174
"1990",3,177
"1990",10,180
"1990",23,183
"1990",43,186
"1990",29,189
"1990",28,192
"1990",26,195
"1990",42,198
"1990",99,201
"1990",44,204
"1990",33,207
"1990",28,210
"1990",28,213
"1990",12,216
"1990",3,219
"1990",3,222
"1990",1,225
"1990",0,228
"1990",1,231
"1991",1,159
"1991",0,162
"1991",0,165
"1991",2,168
"1991",0,171
"1991",0,174
"1991",4,177
"1991",5,180
"1991",19,183
"1991",26,186
"1991",38,189
"1991",29,192
"1991",35,195
"1991",34,198
"1991",89,201
"1991",43,204
"1991",38,207
"1991",35,210
"1991",26,213
"1991",12,216
"1991",1,219
"1991",3,222
"1991",0,225
"1991",0,228
"1991",1,231
"1992",1,159
"1992",0,162
"1992",0,165
"1992",4,168
"1992",0,171
"1992",0,174
"1992",5,177
"1992",6,180
"1992",27,183
"1992",32,186
"1992",32,189
"1992",33,192
"1992",34,195
"1992",50,198
"1992",84,201
"1992",46,204
"1992",37,207
"1992",25,210
"1992",20,213
"1992",16,216
"1992",1,219
"1992",3,222
"1992",1,225
"1992",0,228
"1992",1,231
"1993",1,159
"1993",0,162
"1993",0,165
"1993",3,168
"1993",0,171
"1993",0,174
"1993",4,177
"1993",6,180
"1993",27,183
"1993",22,186
"1993",25,189
"1993",33,192
"1993",33,195
"1993",38,198
"1993",95,201
"1993",51,204
"1993",43,207
"1993",27,210
"1993",21,213
"1993",16,216
"1993",1,219
"1993",2,222
"1993",0,225
"1993",0,228
"1993",1,231
"1994",1,159
"1994",0,162
"1994",0,165
"1994",2,168
"1994",0,171
"1994",0,174
"1994",3,177
"1994",6,180
"1994",31,183
"1994",22,186
"1994",26,189
"1994",34,192
"1994",31,195
"1994",32,198
"1994",102,201
"1994",61,204
"1994",52,207
"1994",33,210
"1994",19,213
"1994",16,216
"1994",1,219
"1994",1,222
"1994",1,225
"1994",2,228
"1994",5,231
"1995",1,159
"1995",0,162
"1995",0,165
"1995",3,168
"1995",0,171
"1995",0,174
"1995",3,177
"1995",8,180
"1995",30,183
"1995",25,186
"1995",30,189
"1995",34,192
"1995",31,195
"1995",29,198
"1995",95,201
"1995",52,204
"1995",40,207
"1995",32,210
"1995",21,213
"1995",13,216
"1995",0,219
"1995",1,222
"1995",0,225
"1995",2,228
"1995",2,231
"1996",1,159
"1996",0,162
"1996",0,165
"1996",7,168
"1996",0,171
"1996",0,174
"1996",5,177
"1996",8,180
"1996",39,183
"1996",23,186
"1996",27,189
"1996",33,192
"1996",39,195
"1996",48,198
"1996",102,201
"1996",60,204
"1996",49,207
"1996",48,210
"1996",39,213
"1996",10,216
"1996",1,219
"1996",1,222
"1996",0,225
"1996",4,228
"1996",1,231
"1997",1,159
"1997",0,162
"1997",0,165
"1997",0,168
"1997",0,171
"1997",0,174
"1997",4,177
"1997",5,180
"1997",43,183
"1997",27,186
"1997",37,189
"1997",39,192
"1997",34,195
"1997",44,198
"1997",127,201
"1997",70,204
"1997",49,207
"1997",48,210
"1997",28,213
"1997",10,216
"1997",1,219
"1997",2,222
"1997",0,225
"1997",4,228
"1997",1,231
"1998",3,159
"1998",0,162
"1998",0,165
"1998",1,168
"1998",0,171
"1998",0,174
"1998",8,177
"1998",6,180
"1998",45,183
"1998",17,186
"1998",27,189
"1998",47,192
"1998",36,195
"1998",60,198
"1998",99,201
"1998",66,204
"1998",50,207
"1998",38,210
"1998",29,213
"1998",8,216
"1998",3,219
"1998",2,222
"1998",0,225
"1998",2,228
"1998",0,231
"1999",1,159
"1999",0,162
"1999",3,165
"1999",0,168
"1999",0,171
"1999",0,174
"1999",4,177
"1999",8,180
"1999",43,183
"1999",22,186
"1999",30,189
"1999",30,192
"1999",30,195
"1999",48,198
"1999",86,201
"1999",71,204
"1999",52,207
"1999",37,210
"1999",25,213
"1999",10,216
"1999",3,219
"1999",1,222
"1999",0,225
"1999",2,228
"1999",1,231
"2000",1,159
"2000",0,162
"2000",3,165
"2000",0,168
"2000",0,171
"2000",0,174
"2000",3,177
"2000",5,180
"2000",30,183
"2000",23,186
"2000",30,189
"2000",32,192
"2000",41,195
"2000",45,198
"2000",90,201
"2000",80,204
"2000",43,207
"2000",33,210
"2000",21,213
"2000",9,216
"2000",3,219
"2000",1,222
"2000",0,225
"2000",2,228
"2000",1,231
"2001",1,159
"2001",0,162
"2001",1,165
"2001",0,168
"2001",0,171
"2001",0,174
"2001",8,177
"2001",5,180
"2001",44,183
"2001",21,186
"2001",37,189
"2001",36,192
"2001",42,195
"2001",46,198
"2001",83,201
"2001",83,204
"2001",47,207
"2001",38,210
"2001",24,213
"2001",17,216
"2001",2,219
"2001",0,222
"2001",0,225
"2001",2,228
"2001",0,231
"2002",0,159
"2002",0,162
"2002",1,165
"2002",0,168
"2002",0,171
"2002",0,174
"2002",5,177
"2002",9,180
"2002",44,183
"2002",25,186
"2002",34,189
"2002",32,192
"2002",34,195
"2002",36,198
"2002",90,201
"2002",55,204
"2002",48,207
"2002",46,210
"2002",24,213
"2002",14,216
"2002",1,219
"2002",0,222
"2002",0,225
"2002",2,228
"2002",0,231
"2003",0,159
"2003",0,162
"2003",1,165
"2003",0,168
"2003",0,171
"2003",0,174
"2003",6,177
"2003",4,180
"2003",42,183
"2003",22,186
"2003",20,189
"2003",38,192
"2003",28,195
"2003",34,198
"2003",96,201
"2003",61,204
"2003",44,207
"2003",46,210
"2003",22,213
"2003",14,216
"2003",2,219
"2003",0,222
"2003",0,225
"2003",3,228
"2003",0,231
"2004",0,159
"2004",0,162
"2004",1,165
"2004",0,168
"2004",0,171
"2004",0,174
"2004",7,177
"2004",7,180
"2004",42,183
"2004",32,186
"2004",25,189
"2004",31,192
"2004",44,195
"2004",40,198
"2004",113,201
"2004",75,204
"2004",60,207
"2004",57,210
"2004",28,213
"2004",18,216
"2004",1,219
"2004",0,222
"2004",1,225
"2004",3,228
"2004",0,231
"2005",0,159
"2005",0,162
"2005",1,165
"2005",0,168
"2005",0,171
"2005",1,174
"2005",7,177
"2005",6,180
"2005",51,183
"2005",31,186
"2005",29,189
"2005",40,192
"2005",26,195
"2005",54,198
"2005",102,201
"2005",70,204
"2005",67,207
"2005",54,210
"2005",26,213
"2005",12,216
"2005",3,219
"2005",0,222
"2005",2,225
"2005",3,228
"2005",0,231
"2006",0,159
"2006",0,162
"2006",1,165
"2006",0,168
"2006",0,171
"2006",1,174
"2006",8,177
"2006",5,180
"2006",40,183
"2006",28,186
"2006",40,189
"2006",37,192
"2006",28,195
"2006",52,198
"2006",99,201
"2006",72,204
"2006",52,207
"2006",48,210
"2006",35,213
"2006",12,216
"2006",2,219
"2006",0,222
"2006",1,225
"2006",2,228
"2006",0,231
"2007",0,159
"2007",0,162
"2007",3,165
"2007",0,168
"2007",0,171
"2007",1,174
"2007",4,177
"2007",3,180
"2007",36,183
"2007",27,186
"2007",43,189
"2007",33,192
